,ClusterEVEpiOverlap,ClusterEVEpiReads,EVE-ClusterOverlap,EVEfamilies,EVEhits,clusterEVEcoverage,piClust_piSites,piClust_reads,piTotal
263,216,1287,1113,1,2,0.05318233944954128,1313,5617,7501456
264,0,0,0,0,0,0.0,1624,14533,7501456
265,0,0,0,0,0,0.0,33,50,7501456
266,0,0,0,0,0,0.0,42,61,7501456
267,317,3138,1962,1,1,0.13061713600958658,2033,30535,7501456
268,27,34,1962,1,1,0.1255840747615695,229,388,7501456
269,0,0,0,0,0,0.0,355,2702,7501456
270,0,0,0,0,0,0.0,389,1919,7501456
271,322,2826,1962,1,1,0.12490450725744844,2038,33324,7501456
272,0,0,0,0,0,0.0,2168,13621,7501456
273,0,0,0,0,0,0.0,620,4602,7501456
274,61,697,336,1,1,0.017692591227423518,2289,17729,7501456
275,0,0,0,0,0,0.0,760,5043,7501456
276,0,0,0,0,0,0.0,72,321,7501456
277,0,0,0,0,0,0.0,34,411,7501456
278,0,0,0,0,0,0.0,162,1822,7501456
279,0,0,0,0,0,0.0,177,1835,7501456
280,25,29,1962,1,1,0.1487603305785124,219,794,7501456
281,0,0,0,0,0,0.0,182,1606,7501456
282,0,0,0,0,0,0.0,1002,11466,7501456
283,0,0,0,0,0,0.0,24,64,7501456
284,0,0,0,0,0,0.0,141,1376,7501456
285,0,0,0,0,0,0.0,56,75,7501456
286,0,0,0,0,0,0.0,102,178,7501456
287,0,0,0,0,0,0.0,55,74,7501456
288,0,0,0,0,0,0.0,50,136,7501456
289,0,0,0,0,0,0.0,143,2246,7501456
290,0,0,0,0,0,0.0,101,1273,7501456
291,0,0,0,0,0,0.0,41,53,7501456
292,30,111,1974,1,1,0.13145102217486848,629,4307,7501456
293,0,0,0,0,0,0.0,177,2020,7501456
294,0,0,0,0,0,0.0,276,881,7501456
295,0,0,0,0,0,0.0,136,464,7501456
296,0,0,0,0,0,0.0,118,2312,7501456
297,0,0,0,0,0,0.0,105,545,7501456
298,0,0,0,0,0,0.0,203,7011,7501456
299,0,0,0,0,0,0.0,243,2136,7501456
300,106,587,1137,1,2,0.22658429653248305,335,1663,7501456
301,0,0,0,0,0,0.0,436,3380,7501456
302,341,4770,2175,3,3,0.06797724715589448,3245,24867,7501456
303,0,0,0,0,0,0.0,62,185,7501456
304,0,0,0,0,0,0.0,41,121,7501456
305,0,0,0,0,0,0.0,35,68,7501456
306,0,0,0,0,0,0.0,180,2624,7501456
307,3796,43516,13305,4,12,0.1232263920275627,15619,160707,7501456
308,1872,7367,26531,4,20,0.264387288363611,5611,26625,7501456
309,0,0,0,0,0,0.0,354,1999,7501456
310,0,0,0,0,0,0.0,21,34,7501456
311,0,0,0,0,0,0.0,33,40,7501456
312,20,138,1974,1,1,0.29918157017277963,56,203,7501456
313,0,0,0,0,0,0.0,38,77,7501456
314,0,0,0,0,0,0.0,47,63,7501456
315,146,754,2412,1,3,0.04498992762814295,5209,63264,7501456
316,0,0,0,0,0,0.0,1453,26212,7501456
317,306,2947,1937,1,1,0.13236299029656964,1729,24041,7501456
318,0,0,1962,1,1,0.11647373107747105,0,0,7501456
319,0,0,0,0,0,0.0,277,1990,7501456
320,2033,33549,10081,4,14,0.08138962223783111,17564,346718,7501456
321,0,0,0,0,0,0.0,1244,18212,7501456
322,0,0,0,0,0,0.0,160,390,7501456
